2022-05-19 18:11:17.012  INFO [authorizationService,,] 16604 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 18:11:17.014  INFO [authorizationService,,] 16604 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2022-05-19 18:11:17.234  INFO [authorizationService,e4ebd6492b5f671f,704391fa12759bb1] 16604 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-05-19 18:11:17.237  INFO [authorizationService,e4ebd6492b5f671f,704391fa12759bb1] 16604 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 18:11:17.476  INFO [authorizationService,e4ebd6492b5f671f,704391fa12759bb1] 16604 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 18:11:17.481  INFO [authorizationService,e4ebd6492b5f671f,704391fa12759bb1] 16604 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : END - generateToken
2022-05-19 18:12:22.370  INFO [authorizationService,217286ab6b4c0d4e,b7d15ed36368d18c] 16604 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 18:12:22.454  INFO [authorizationService,217286ab6b4c0d4e,b7d15ed36368d18c] 16604 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 18:12:22.477  INFO [authorizationService,217286ab6b4c0d4e,b7d15ed36368d18c] 16604 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 18:12:22.479  INFO [authorizationService,217286ab6b4c0d4e,b7d15ed36368d18c] 16604 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 18:12:22.481  INFO [authorizationService,217286ab6b4c0d4e,b7d15ed36368d18c] 16604 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 18:12:22.484  INFO [authorizationService,217286ab6b4c0d4e,b7d15ed36368d18c] 16604 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 18:12:22.618  INFO [authorizationService,217286ab6b4c0d4e,a63ec85400017abd] 16604 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 18:12:22.621  INFO [authorizationService,217286ab6b4c0d4e,a63ec85400017abd] 16604 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 18:12:22.627  INFO [authorizationService,217286ab6b4c0d4e,a63ec85400017abd] 16604 --- [http-nio-9090-exec-4] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 18:12:22.649  INFO [authorizationService,217286ab6b4c0d4e,a63ec85400017abd] 16604 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 18:12:22.651  INFO [authorizationService,217286ab6b4c0d4e,a63ec85400017abd] 16604 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 18:12:22.653  INFO [authorizationService,217286ab6b4c0d4e,a63ec85400017abd] 16604 --- [http-nio-9090-exec-4] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 18:13:40.623  INFO [authorizationService,e42eec77d3afaf7c,1596429fba0cb188] 16604 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 18:13:40.626  INFO [authorizationService,e42eec77d3afaf7c,1596429fba0cb188] 16604 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 18:13:40.631  INFO [authorizationService,e42eec77d3afaf7c,1596429fba0cb188] 16604 --- [http-nio-9090-exec-7] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 18:13:40.633  INFO [authorizationService,e42eec77d3afaf7c,1596429fba0cb188] 16604 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 18:13:40.635  INFO [authorizationService,e42eec77d3afaf7c,1596429fba0cb188] 16604 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 18:13:40.640  INFO [authorizationService,e42eec77d3afaf7c,1596429fba0cb188] 16604 --- [http-nio-9090-exec-7] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 18:13:41.130  INFO [authorizationService,e42eec77d3afaf7c,5a090b4c3d2e3a7c] 16604 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 18:13:41.132  INFO [authorizationService,e42eec77d3afaf7c,5a090b4c3d2e3a7c] 16604 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 18:13:41.134  INFO [authorizationService,e42eec77d3afaf7c,5a090b4c3d2e3a7c] 16604 --- [http-nio-9090-exec-8] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 18:13:41.136  INFO [authorizationService,e42eec77d3afaf7c,5a090b4c3d2e3a7c] 16604 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 18:13:41.137  INFO [authorizationService,e42eec77d3afaf7c,5a090b4c3d2e3a7c] 16604 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 18:13:41.138  INFO [authorizationService,e42eec77d3afaf7c,5a090b4c3d2e3a7c] 16604 --- [http-nio-9090-exec-8] c.c.controller.AuthorizationController   : END - authorization
